	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	diff_expressed
LEPR	37.7794037161425	3.19633239995833	0.62804795655315	5.08931263386387	3.59363731018934e-07	1.32964580477006e-05	UP
NTRK2	30.6039840463892	-2.37595977455432	0.637775182966525	-3.72538762562516	0.000195015315853849	0.00360778334329622	DOWN
MC4R	15.6709808798144	-2.06204126118411	0.804143290020864	-2.56427092879256	0.0103392802929341	0.127517790279521	NO
LEP	49.4649356475598	-1.23108540595359	0.544154539743572	-2.26238194490434	0.0236738154638346	0.21898279304047	NO
PCSK1	46.9697380641196	1.05266313687871	0.496600461846993	2.11973853782488	0.0340281010912963	0.251807948075592	NO
BDNF	43.1719762370751	-0.682811491596302	0.50543525114244	-1.35093761278608	0.17671541826613	0.775299089902309	NO
CADM2	43.5228704576928	-0.699577344411428	0.508614258861624	-1.37545759329913	0.168989624180471	0.775299089902309	NO
KSR2	59.9444223014541	-0.714632608814875	0.535587893578425	-1.33429567281702	0.1821069751917	0.775299089902309	NO
MRAP2	45.7218178167579	-0.783382739303313	0.624293666277635	-1.25483050945279	0.209540294568191	0.775299089902309	NO
SH2B1	55.4985700035393	0.719405293145776	0.55028825172998	1.30732446292308	0.191102539419316	0.775299089902309	NO
NRP1	21.6598344721269	0.737056435136111	0.635712571066245	1.15941774424861	0.246285947388165	0.828416368487463	NO
ADCY3	31.0718146062312	0.495321215676565	0.55522052747953	0.892116179358708	0.372330663624456	0.984096922030561	NO
AGRP	31.6803515527914	-0.0823791269785734	0.584846197735004	-0.1408560529206	0.887983660606731	0.984096922030561	NO
ANKRD27	29.8556905826635	-0.0457279306111702	0.556479521345503	-0.0821736090136891	0.934508659411004	0.984096922030561	NO
ANO4	30.5026117432556	0.177525135661299	0.558461139818073	0.317882701237065	0.750573914941085	0.984096922030561	NO
CADM1	30.0059476062951	-0.0232373627399462	0.555246309437948	-0.041850548747399	0.966617838211401	0.984096922030561	NO
CALCR	29.7976311646567	0.0341011449534075	0.557634184669456	0.0611532540344909	0.951237157888749	0.984096922030561	NO
CNR1	51.4712733490072	0.192969796932012	0.478148354135469	0.403577248071715	0.686523619252975	0.984096922030561	NO
CREBRF	20.2109421889407	0.341039230845165	0.674805907350773	0.50538862675944	0.613285905421156	0.984096922030561	NO
DPP9	46.0072019763969	0.091799584121874	0.527410504236044	0.174057178202861	0.861820526267701	0.984096922030561	NO
FTO	20.1665823209958	0.221887721385513	1.42204460152699	0.156034291151804	0.876005991816802	0.984096922030561	NO
GIPR	42.1049306071837	0.227430800499337	0.593035466587656	0.383502865027585	0.701346946359518	0.984096922030561	NO
GPR151	56.7422593821539	0.209942206038891	0.470065154448945	0.446623630898583	0.655146830556548	0.984096922030561	NO
GPR75	40.8696037866643	-0.010274521572904	0.51545614740915	-0.0199328723200744	0.984096922030561	0.984096922030561	NO
KIAA0586	18.7305807545741	0.297604192630245	0.691161053811746	0.430585882970346	0.666769507686304	0.984096922030561	NO
KIAA1109	15.7377838163437	0.275247697949466	0.707068965246431	0.389279846066409	0.697069143363169	0.984096922030561	NO
NRP2	37.3429953497759	-0.267565074594992	0.535094221624617	-0.500033571251487	0.617051439103122	0.984096922030561	NO
PDE3B	38.560461088619	-0.517828226687453	0.572553136834859	-0.904419508641711	0.365772997481795	0.984096922030561	NO
PHIP	12.8326762862226	0.396798144439252	0.792472208800693	0.500709223658147	0.616575779909566	0.984096922030561	NO
POMC	60.020981279963	0.016753061506433	0.515770271849668	0.0324816345974202	0.97408796176961	0.984096922030561	NO
PPARG	28.1646203845725	0.0752781377624724	0.57981061568066	0.12983228614071	0.896699118451992	0.984096922030561	NO
ROBO1	20.5415946732729	-0.550632215696279	0.651805161688278	-0.844780385399304	0.398233467992505	0.984096922030561	NO
SIM1	12.674998881971	-0.191985966877415	0.818900298728207	-0.234443640056767	0.814640582628128	0.984096922030561	NO
SPARC	47.1602407727676	-0.114539376477589	0.490437492043715	-0.233545310739375	0.815337989252275	0.984096922030561	NO
TMEM18	18.0165068932959	0.444410789366149	0.674686174874774	0.658692598004746	0.510093187140795	0.984096922030561	NO
UBR2	49.7839380629725	-0.393102016961964	0.488202484015571	-0.805202820208154	0.420702649306511	0.984096922030561	NO
UHMK1	30.0136127087639	0.0601904857999371	0.557897269912728	0.107888116766287	0.914084443544484	0.984096922030561	NO
